x1_r,y1_r,z1_r,x1_l,y1_l,z1_l,color
54.79453409616149,10.52725737211074,-51.02776046965948,54.474627848494,10.372540818518019,-51.51507155176995,1
-10.487558320099858,-3.9320744874843285,-150.95911403493858,-10.765649705529633,-4.395287116354325,-150.64587709298394,1
-38.45979800534136,15.328800928223757,-59.036752041721854,-38.6060205307546,15.408992384660223,-59.0462774486096,1
-21.658614561758874,24.865562861054514,-84.51111516666765,-8.715659776873544,24.4747567456443,-63.59554422952675,2
-38.191138896259254,13.430011642884438,-91.89750910456183,-4.084636979508993,23.32320548440464,-48.039619924200906,2
-43.20178629390353,11.014945162120625,-91.33248778640495,-8.048941705282012,24.533207521233805,-57.266328756828216,2
-43.20178629390353,11.014945162120625,-91.33248778640495,-8.048941705282012,24.533207521233805,-57.266328756828216,3
-46.02772400108589,10.5928190921544,-89.66750338822584,-10.95511404868035,22.31088863847509,-52.00327783898598,3
-48.470994708583255,8.683840391654485,-85.7371420650237,-14.614073570449115,20.600968880016865,-45.37635191532485,3
-51.74063996261368,6.144892718704796,-80.16752229282929,-21.15380969547619,18.20699808210378,-42.20316391998722,3
-54.58803729680276,2.693214151602831,-75.18151506252343,-28.091206855940108,13.092093294733218,-41.74550912199959,3
-43.20178629390353,11.014945162120625,-91.33248778640495,-8.048941705282012,24.533207521233805,-57.266328756828216,4
-48.10097034009599,-2.4861553965962457,-104.22185356851185,-7.120684526637781,5.1898462727320975,-27.358915501913373,4
-48.10097034009599,-2.4861553965962457,-104.22185356851185,-7.120684526637781,5.1898462727320975,-27.358915501913373,5
-57.027048189934085,-11.090800070774321,-101.66094178952213,-29.58320018132003,4.784210532799932,-26.46111496747085,5
-64.84969343979972,-19.924152191491913,-99.64350124364006,-43.51954166929105,-6.1644562041655036,-30.281499199917107,5
-48.10097034009599,-2.4861553965962457,-104.22185356851185,-7.120684526637781,5.1898462727320975,-27.358915501913373,6
