x1_r,y1_r,z1_r,x1_l,y1_l,z1_l,color
54.70649048391107,4.502563805303097,-79.05111111577025,54.984564509462245,4.761362031373011,-79.14927997283195,1
1.4086487819139393,2.7578605179542564,-108.4146155644558,1.776948897240345,2.7707200246277353,-108.56758267902183,1
-50.51661789620675,12.769097767391088,-75.97271796842205,-50.144201571116184,12.941328224022783,-76.38784867147166,1
-28.501643447062833,28.326236038238804,-99.61541723955577,27.454551902898345,26.70041111349586,-104.02839049701731,3
-26.62453054566612,28.225036430347657,-89.67664703168941,29.789375373864516,26.031472745518897,-100.08276690381007,5
-26.647712688972803,38.322987286620126,-108.9752399874605,33.65051646976673,41.62900057697083,-111.25360673233769,5
-27.999414738099603,51.16023565664071,-107.72096424951843,34.515337766104665,51.909878957505526,-111.39509461187015,5
-28.94331954170829,63.93946523910741,-106.58954027932344,35.09444312283313,62.32981705613352,-109.1751720216501,5
-29.787327814882104,77.055410867127,-102.41236580754844,33.8165741147821,73.54195964307657,-105.85917667962673,5
-26.62453054566612,28.225036430347657,-89.67664703168941,29.789375373864516,26.031472745518897,-100.08276690381007,6
-36.174826006649994,55.2044164147779,-101.82757115677703,35.85084611355819,49.5511531942486,-109.21596565569752,6
-37.096025616702235,67.87230275192016,-100.27012185176471,42.534959297573266,71.7930023074163,-100.70204952853499,6
-35.10798920894587,81.72590645079514,-93.8549605914414,40.33217978069075,88.24636884566834,-90.41188963920712,6
-33.30518571449221,94.79835529194897,-83.37857249602405,35.06460048308645,104.33829322655285,-78.85418358465876,6
-26.62453054566612,28.225036430347657,-89.67664703168941,29.789375373864516,26.031472745518897,-100.08276690381007,7
-49.08211633069942,59.13580199335477,-87.20268860910312,43.590576542989425,49.76050205170757,-103.12117217391187,7
-51.0277900365634,78.51504850589949,-75.07025174603501,51.21004322168079,70.20429790229605,-91.04557755411065,7
-50.642741134348,95.46519922045506,-60.25797096430691,50.09954824007275,89.68032839568525,-78.59091525815109,7
-43.72343263832741,113.18477386897294,-38.57247317010123,43.24637299205,113.04462628126625,-54.22438183064594,7
