x1_r,y1_r,z1_r,x1_l,y1_l,z1_l,color
68.7222683162141,2.9035954631520156,-159.39648460540855,68.83595946062766,4.7831687627578106,-160.1941864513954,1
1.6601796492168148,68.63345243575492,-144.40383263215966,1.6850556438023716,68.68616187412715,-144.28761542173078,1
-58.380185132327625,3.569993834654099,-170.18865045994193,-58.33394831098815,3.6821934300400585,-170.26717578800654,1
-5.194230555810236,41.172501399822664,-170.3947905241526,17.46192438017644,40.325395229876676,-167.41691976244948,2
-16.42271993758564,51.15774312211673,-156.43701205153332,31.331901316736463,52.47484321859923,-150.37606495705262,2
-16.42271993758564,51.15774312211673,-156.43701205153332,31.88073588698748,52.1487871218425,-150.5543820237208,2
-16.42271993758564,51.15774312211673,-156.43701205153332,31.88073588698748,52.1487871218425,-150.5543820237208,3
-16.42271993758564,51.15774312211673,-156.43701205153332,36.13733435395355,56.83318749631084,-140.56377174793164,3
-16.42271993758564,51.15774312211673,-156.43701205153332,39.00536651957296,58.92431124097524,-131.35887433832013,3
-16.42271993758564,51.15774312211673,-156.43701205153332,41.013685082491946,60.95644961367512,-118.09537368901809,3
-16.42271993758564,51.15774312211673,-156.43701205153332,40.903620257048004,60.66944268146736,-103.0772968502526,3
-16.42271993758564,51.15774312211673,-156.43701205153332,31.88073588698748,52.1487871218425,-150.5543820237208,4
-49.14804973965764,46.377518225700186,-78.38682143795887,52.0519347104121,46.57965993708308,-121.42779387962385,4
-49.14804973965764,46.377518225700186,-78.38682143795887,52.0519347104121,46.57965993708308,-121.42779387962385,5
-36.901046066827945,50.464547287857556,-68.9840090452342,55.8365686671697,45.22610310128948,-105.25560019275399,5
-18.96530441515816,51.86887069247058,-58.24362373371888,57.34257689868795,40.70689927854187,-87.6540725427157,5
-49.14804973965764,46.377518225700186,-78.38682143795887,52.0519347104121,46.57965993708308,-121.42779387962385,6
-55.45774187482232,32.996488529595695,-69.67444644824397,57.61970367134134,40.1833267540614,-109.49584521146875,6
-57.833056651915086,21.710916556774237,-59.81894498073903,63.36467476359027,29.132444797022515,-90.53815647020028,6
