x1_r,y1_r,z1_r,x1_l,y1_l,z1_l,color
-62.03207718090597,-28.24868351881251,-131.59362800544372,-62.03207718090597,-28.24868351881251,-131.59362800544372,1
-11.818152190013567,-64.53638306729144,-135.66463775412691,-11.818152190013567,-64.53638306729144,-135.66463775412691,1
47.17212023589005,-37.927147746107885,-126.97595310610743,47.17212023589005,-37.927147746107885,-126.97595310610743,1
14.492033697225445,-60.192778413742204,-108.98113159580389,-35.325226816789424,-55.89130743157729,-110.11882654795293,3
14.492033697225445,-60.192778413742204,-108.98113159580389,-35.325226816789424,-55.89130743157729,-110.11882654795293,5
13.596012207062493,-62.4618416324066,-99.0933755524285,-35.37599099518462,-58.568019017168794,-101.36865057489891,5
14.824860994868521,-63.38182141151141,-88.90128803597815,-34.53205362643682,-61.169555175346424,-87.52149241848758,5
18.155222834618908,-63.38980801721142,-78.8081449030473,-36.74086456252847,-59.88431105099956,-74.49278604779559,5
18.00914843006237,-59.52767273022498,-67.12227413394342,-34.84788376922462,-54.63789558401559,-62.0600698446956,5
14.492033697225445,-60.192778413742204,-108.98113159580389,-35.325226816789424,-55.89130743157729,-110.11882654795293,6
19.979809054804033,-59.89418432480814,-95.61045398189707,-40.165894466147165,-55.56356277846675,-96.43707728697316,6
26.961584451254314,-57.86099987888101,-76.32310592859606,-44.36817234756914,-54.72070391264654,-80.5737554020489,6
32.388320658903055,-47.05484981631567,-62.79100225648888,-46.112536949723136,-44.64943722557499,-62.972452910541875,6
33.3604908316363,-38.68225535167623,-51.90038226547451,-45.69711299855351,-32.626058721667015,-48.97338921610231,6
14.492033697225445,-60.192778413742204,-108.98113159580389,-35.325226816789424,-55.89130743157729,-110.11882654795293,7
28.464096511814354,-55.93664713661623,-90.33321351869992,-46.364198056538314,-51.786205992185835,-89.822753911391,7
36.679180200026636,-47.8325006778777,-75.61649568478275,-51.584727360475725,-44.285767674549405,-74.69691709397611,7
43.12153187963678,-34.801956400746754,-62.82261136767265,-54.555280013318665,-32.31685276749907,-64.21127602322315,7
43.88181381427873,-22.974945065979405,-48.27584529201544,-61.001267668581846,-10.623853489849008,-55.945689575789906,7
