x1_r,y1_r,z1_r,x1_l,y1_l,z1_l,color
56.79459266036719,-89.33835429778917,-116.87065882486856,56.79459266036719,-89.33835429778917,-116.87065882486856,1
0.7346819768004031,-125.15685330455088,-121.14809784320947,0.7346819768004031,-125.15685330455088,-121.14809784320947,1
-58.81349664913581,-87.61963192867394,-123.69817954866565,-58.81349664913581,-87.61963192867394,-123.69817954866565,1
25.890264753965333,-107.2139835179023,-99.32824656775213,-28.2831558731851,-106.27414173411127,-101.44013379610317,3
25.890264753965333,-107.2139835179023,-99.32824656775213,-28.2831558731851,-106.27414173411127,-101.44013379610317,5
24.572953746516188,-109.99010491905061,-90.07403154562628,-27.796142933533304,-111.73821371107869,-91.74659920251291,5
22.167483266055047,-103.3621616232851,-77.43506084877967,-25.448335290213098,-108.2485248679377,-78.65065214023349,5
21.008506955210557,-98.18072426796968,-66.07556707996042,-20.600264346932434,-103.51068432039533,-62.39868274378554,5
17.460070367241304,-94.95995184118009,-55.481129199355664,-16.99960444557664,-100.47533813467759,-52.85547833940872,5
25.890264753965333,-107.2139835179023,-99.32824656775213,-28.2831558731851,-106.27414173411127,-101.44013379610317,6
26.98865467374072,-106.38616885783867,-90.60665138838732,-30.378141344911096,-111.40468157945287,-91.42411193018161,6
31.847058954967807,-105.24003223719785,-82.41884748947886,-31.79460390587958,-105.64375869449015,-75.14489641293729,6
33.07387397346426,-94.07848312855494,-68.86765782308265,-30.197629682920134,-96.94783496660749,-59.758415565474145,6
34.11766831472979,-86.75713175507818,-58.43786955063282,-23.81184967388027,-88.84737088517586,-46.78561590653842,6
25.890264753965333,-107.2139835179023,-99.32824656775213,-28.2831558731851,-106.27414173411127,-101.44013379610317,7
29.352072053422308,-105.96052119810886,-92.44457971103364,-33.11261826760083,-107.5774712888774,-91.08517761354993,7
36.8320011252208,-97.99203490752399,-84.34596613353631,-36.488704080863045,-101.48016615713175,-81.40581571764596,7
44.43327227384446,-84.76081358886792,-71.12837106704093,-39.5060191865855,-93.45275467824425,-68.35653318942227,7
51.041240498565344,-55.973864537626966,-60.30855497515021,-47.12445843826096,-75.13499509900761,-56.3383092517593,7
