x1_r,y1_r,z1_r,x1_l,y1_l,z1_l,color
68.77275058063384,58.30972358761717,-157.45425880867535,68.77275058063384,58.30972358761717,-157.45425880867535,1
11.096385436118013,112.0290534086458,-116.21476156232032,11.096385436118013,112.0290534086458,-116.21476156232032,1
-65.32331291952285,65.01998383747728,-158.27996949716834,-65.32331291952285,65.01998383747728,-158.27996949716834,1
-2.6730806582772915,102.75096946410181,-146.81864512930238,16.693045022367848,100.12557582532953,-149.76131843141235,2
-5.204751259441615,102.74570941718875,-139.2636684305225,17.627050125530843,101.8808437636546,-139.38128972326547,2
-11.501682490836469,100.75686783397637,-130.78544189221452,23.023289482254455,98.95463626077141,-132.04854866312857,2
-11.501682490836469,100.75686783397637,-130.78544189221452,23.023289482254455,98.95463626077141,-132.04854866312857,3
-17.947468038003805,102.32012180985826,-123.42729537575279,29.943850616390506,98.5163439926748,-126.82377301486805,3
-25.445289023100585,100.58789788448037,-117.85702403965158,35.771581556432196,97.71029699025944,-119.36897613952517,3
-31.343047195480516,99.43961228254786,-110.10788229901216,37.758985401030365,96.44609078119258,-109.59907756075613,3
-31.88979004564711,99.84333136908104,-101.56185256849047,39.68299393872247,94.27489180142976,-103.13920654213938,3
-11.501682490836469,100.75686783397637,-130.78544189221452,23.023289482254455,98.95463626077141,-132.04854866312857,4
-37.76449081223141,92.0678956490821,-126.10792697372396,45.637784361649686,90.4752876163217,-117.34551085063296,4
-37.76449081223141,92.0678956490821,-126.10792697372396,45.637784361649686,90.4752876163217,-117.34551085063296,5
-51.865878894883785,79.13043907285143,-108.38891936267036,52.95057014844121,76.54357340386741,-94.08718569298246,5
-63.72109450024735,63.06452982613996,-85.57808163064539,60.62126151807868,57.00588957523963,-71.70075362299092,5
-37.76449081223141,92.0678956490821,-126.10792697372396,45.637784361649686,90.4752876163217,-117.34551085063296,6
-58.59362589101894,72.529491330013,-111.17992967119861,61.7757437818603,62.40530050191684,-91.03086318600603,6
-70.43117126217327,47.818874032855916,-94.27137347561218,67.03522536319186,33.848306705058675,-77.2530010899436,6
